Time=0 | wr_en=1 rd_en=1 | wr_bank=1 rd_bank=0 | write_counter= 14 read_counter= 12 | write_addr= 56 read_addr= 12 | data_in=  216 data_out=   12
Time=0 | wr_en=1 rd_en=1 | wr_bank=1 rd_bank=0 | write_counter= 15 read_counter= 13 | write_addr=120 read_addr= 13 | data_in=  184 data_out=   13
Time=0 | wr_en=1 rd_en=1 | wr_bank=1 rd_bank=0 | write_counter= 16 read_counter= 14 | write_addr=  4 read_addr= 14 | data_in=  248 data_out=   14
Time=0 | wr_en=1 rd_en=1 | wr_bank=1 rd_bank=0 | write_counter= 17 read_counter= 15 | write_addr= 68 read_addr= 15 | data_in=  132 data_out=   15
Time=0 | wr_en=1 rd_en=1 | wr_bank=1 rd_bank=0 | write_counter= 18 read_counter= 16 | write_addr= 36 read_addr= 16 | data_in=  196 data_out=   16
Time=0 | wr_en=1 rd_en=1 | wr_bank=1 rd_bank=0 | write_counter= 19 read_counter= 17 | write_addr=100 read_addr= 17 | data_in=  164 data_out=   17
Time=0 | wr_en=1 rd_en=1 | wr_bank=1 rd_bank=0 | write_counter= 20 read_counter= 18 | write_addr= 20 read_addr= 18 | data_in=  228 data_out=   18
Time=0 | wr_en=1 rd_en=1 | wr_bank=1 rd_bank=0 | write_counter= 21 read_counter= 19 | write_addr= 84 read_addr= 19 | data_in=  148 data_out=   19
Time=0 | wr_en=1 rd_en=1 | wr_bank=1 rd_bank=0 | write_counter= 22 read_counter= 20 | write_addr= 52 read_addr= 20 | data_in=  212 data_out=   20
Time=0 | wr_en=1 rd_en=1 | wr_bank=1 rd_bank=0 | write_counter= 23 read_counter= 21 | write_addr=116 read_addr= 21 | data_in=  180 data_out=   21
Time=0 | wr_en=1 rd_en=1 | wr_bank=1 rd_bank=0 | write_counter= 24 read_counter= 22 | write_addr= 12 read_addr= 22 | data_in=  244 data_out=   22
Time=0 | wr_en=1 rd_en=1 | wr_bank=1 rd_bank=0 | write_counter= 25 read_counter= 23 | write_addr= 76 read_addr= 23 | data_in=  140 data_out=   23
Time=0 | wr_en=1 rd_en=1 | wr_bank=1 rd_bank=0 | write_counter= 26 read_counter= 24 | write_addr= 44 read_addr= 24 | data_in=  204 data_out=   24
